id,type,ra,dec,mag,name,const
196,GC,0.401417,-72.0808,4,47 Tuc,Tuc
374,Gxy,0.712306,41.2683,3.6,NA,And
464,Gxy,0.877222,-72.8003,2.2,Small Magellanic Cloud,Tuc
991,Gxy,1.56411,30.6603,5.8,Triangulum galaxy,Tri
1227,OC,1.96331,37.85,5.7,NA,And
1300,*,2.05739,72.4208,4,NA,Cas
1425,OC,2.31772,57.135,5.3,Double cluster,Per
1442,OC,2.37558,57.1442,6.1,Double cluster,Per
1666,OC,2.70206,42.7461,5.2,NA,Per
2513,OC,4.34897,50.2553,6.2,NA,Per
2842,OC,5.06394,23.7678,6.1,NA,Tau
3109,OC,5.586,-4.425,4.2,NA,Ori
3116,OC+Neb,5.58811,-5.39083,4,NA,Ori
3127,OC,5.60492,34.1408,6,NA,Aur
3244,OC,5.87175,32.5531,5.6,NA,Aur
3314,OC,6.14008,13.9647,5.9,NA,Ori
3317,OC,6.14886,24.3578,5.1,NA,Gem
3374,OC,6.46697,-4.8475,4.2,NA,Mon
3389,OC+Neb,6.53211,4.94306,4.8,NA,Mon
3412,OC+Neb,6.68286,9.89556,4.1,Cone nebula,Mon
3427,OC,6.76667,-20.7542,4.5,NA,CMa
3446,OC,6.80494,41.0789,5.4,NA,Aur
3457,OC,6.86258,0.459167,6,NA,Mon
3480,OC,7.04508,-8.39056,5.9,NA,Mon
3541,OC,7.31153,-24.9542,3.8,NA,CMa
3623,OC,7.60972,-14.4825,4.4,NA,Pup
3639,OC,7.69633,-14.81,6.1,NA,Pup
3649,OC,7.74144,-23.8531,6.2,NA,Pup
3653,OC,7.75417,-37.9675,2.8,NA,Pup
3673,OC,7.86939,-38.5333,5.8,NA,Pup
3681,OC,7.60972,-14.4825,4.4,NA,Pup
3711,OC,7.96864,-60.7533,3.8,NA,Car
3793,OC,8.16958,-49.2256,4.7,NA,Vel
3800,OC,8.20433,-37.5942,6.3,NA,Pup
3809,OC,8.22864,-5.75056,5.8,NA,Hya
4064,OC,8.67283,19.6719,3.1,Praesepe,Cnc
4065,OC,8.67,-53.0667,2.5,NA,Vel
4071,OC,8.685,-48.2,4.6,NA,Vel
4087,OC,8.77294,-52.9475,6.1,NA,Vel
4277,GC,9.20072,-64.8631,6.2,NA,Car
4754,OC,10.0452,-60.1089,4.2,NA,Car
4915,OC,10.3562,-51.7325,6,NA,Vel
4970,OC,10.4567,-57.6333,4.3,NA,Car
5037,OC,10.5983,-58.2361,4.7,NA,Car
5113,OC,10.72,-64.4,1.9,Southern Pleiades,Car
5343,OC,11.0965,-58.7703,3,NA,Car
5929,OC,11.604,-61.61,5.3,NA,Cen
5938,OC+Neb,11.61,-63.0333,4.5,lambda Cen nebula,Cen
7990,OC,12.8936,-60.3561,4.2,kappa Cru cluster,Cru
8818,GC,13.4461,-47.4769,3.9,omega Cen,Cen
9036,GC,13.7031,28.3756,6.3,NA,CVn
9088,OC,13.7764,-62.9164,5.9,NA,Cen
9176,OC,13.8992,-61.8692,6,NA,Cen
9362,OC,14.1244,-48.3425,5.6,NA,Cen
9640,OC,14.4956,-60.7108,6.3,NA,Cen
9707,OC,14.5938,-56.6181,5.5,NA,Cen
10093,GC,15.3094,2.08278,5.7,NA,Ser
10322,OC,16.0547,-60.4317,5.1,NA,TrA
10418,OC,16.2197,-54.2183,5.6,NA,Nor
10459,OC,16.314,-57.9344,5.4,NA,Nor
10488,GC,16.3932,-26.5253,5.4,NA,Sco
10495,OC,16.4222,-40.6536,5.8,NA,Sco
10578,OC,16.6889,-48.7625,5.2,NA,Ara
10582,GC,16.6948,36.46,5.8,NA,Her
10605,GC,16.7873,-1.94778,6.1,NA,Oph
10642,OC,16.903,-41.8242,2.6,NA,Sco
10662,OC,16.9656,-45.9367,5.9,NA,Ara
10702,OC,17.0781,-37.9853,5.4,NA,Sco
10770,OC,17.3071,-42.9339,6,NA,Sco
10847,OC,17.5784,-32.5814,5.5,NA,Sco
10872,OC,17.6724,-32.2542,4.2,NA,Sco
10874,GC,17.6781,-53.6736,5.3,NA,Ara
10897,OC,17.7389,-32.3611,5.7,NA,Sco
10912,OC,17.7717,5.71667,4.2,NA,Oph
10963,OC,17.8975,-34.7928,3.3,NA,Sco
10980,OC,17.9513,-18.9853,5.5,NA,Sgr
10999,OC+Neb,18.0391,-23.0272,6.3,Trifid nebula,Sgr
11009,Neb,18.0614,-24.3803,5.8,NA,Sgr
11012,OC,18.0704,-22.49,5.9,NA,Sgr
11014,OC+Neb,18.0753,-24.3581,4.6,NA,Sgr
11033,GC,18.134,-43.7158,6.3,NA,CrA
11118,OC,18.306,-15.0128,6,NA,Ser
11131,OC+Neb,18.3134,-13.8072,6,NA,Ser
11140,OC+Neb,18.3464,-16.1717,6,Omega nebula,Sgr
11165,OC,18.4542,6.50833,4.6,NA,Oph
11185,OC,18.5267,-19.25,4.6,NA,Sgr
11223,GC,18.6067,-23.9033,5.2,NA,Sgr
11239,OC,18.65,5.45,5,NA,Ser
11314,OC,18.8516,-6.27,5.8,Wild Duck cluster,Sct
11408,GC,19.181,-59.9819,5.3,NA,Pav
11524,GC,19.6665,-30.9622,6.3,NA,Sgr
11637,OC,20.0998,35.7772,5.2,NA,Cyg
11810,OC,20.5741,28.2828,6.3,NA,Vul
12105,GC,21.4996,12.1667,6.3,NA,Peg
12116,OC,21.5301,48.4486,4.6,NA,Cyg
12137,OC+Neb,21.6517,57.5,3.5,NA,Cep
12232,OC,21.8945,62.6033,6.1,NA,Cep
13033,OC,23.502,49.1342,5.6,NA,And
13227,GxyCld,18.27,-18.47,4.6,Sagittarius Star Cloud,Sgr
13228,OC,3.79,24.117,1.6,Pleiades,Tau
13229,OC,4.45,15.85,0.5,Hyades,Tau
13231,DN,12.85,-62.5,0,Coalsack,Cru
159903,Gxy,5.39294,-69.7561,0.8,Large Magellanic Cloud,-
212626,OC,2.62167,55.9833,5.9,NA,Per
212628,OC,3.36667,49,1.2,NA,Per
212629,OC,5.375,41,4.2,NA,Aur
212630,OC,5.41806,15.6997,3,NA,Tau
212631,OC,5.59133,9.94111,2.8,NA,Ori
212632,OC,5.59333,-1.08333,0.6,NA,Ori
212635,OC,6.3,23.6333,5.7,NA,Gem
212639,OC,6.52167,5.91667,5.4,NA,Mon
212642,OC,6.61833,5.95,4.6,NA,Mon
212643,OC,6.62833,4.73333,5.1,NA,Mon
212647,OC,6.90333,-24.6333,2.6,NA,Cma
212648,OC,7.24,-31.1667,3.6,NA,Cma
212649,OC,7.28833,-36.8333,2.1,NA,Pup
212650,OC,7.39833,-32.2,3.5,NA,Cma
212658,OC,8.04694,-46.3833,0.6,NA,Vel
212664,OC,8.775,-52.9,6.1,NA,Vel
212665,OC,8.79833,-42.45,5,NA,Vel
212673,OC,10.7011,-59.9167,4.4,NA,Car
212674,OC,10.7322,-59.55,5.5,NA,Car
212677,OC,10.7558,-59.75,5,NA,Car
212683,OC,12.4167,26,1.8,NA,Com
212698,OC,16.4333,-26.2167,1,NA,Sco
212712,OC,17.8019,1.35,6.1,NA,Oph
212716,OC,18.0183,2.9,3,NA,Oph
212722,OC,18.8744,-20.9911,6.3,NA,Sgr
212723,OC,19.4233,20.1833,3.6,NA,Vul
212726,OC,20.2886,-79.0333,5.3,NA,Oct
