"3.8 ± 0.2","2.7 ± 0.4","3.75","13,800","60"
"3–4","100","1.52","3,842","NA"
"NA","96","NA","4,200","NA"
"~1.3","13.6 ± 0.3","2.0 ± 0.3","4,315","3.2"
"NA","NA","NA","NA","NA"
"7.0 ± 0.2","6.6","NA","13,800","50.1 ± 6.8"
"1.0 ± 0.2","7.0 ± 0.7","2.75 ± 0.25","4,800 ± 100","NA"
"2.0","2.4","3.99","7,959","600"
"NA","16.0","NA","4,600","NA"
"NA","2.31 ± 0.09","4.10 ± 0.03","11,361 ± 66","NA"
"NA","NA","NA","NA","63.1 ± 13.7"
"NA","NA","3.35","12,620","NA"
"NA","NA","4.10","15,276","NA"
"2.4","9.8","NA","4930","650"
"2.6 ± 0.35","NA","2.8","4900","8×10"
"NA","2.1","4.02","8,929","450"
"5.9 ± 0.2","3.4","4.12 ± 0.43","14,851 ± 396","63.1 ± 17.9"
"NA","NA","3.95","NA","NA"
"NA","2.2","NA","6,628","2.1"
"NA","96","NA","4,200","NA"
"NA","NA","NA","NA","NA"
"2.5","10","2.8","4,656","NA"
"NA","NA","NA","NA","NA"
"0.97","1.20 ","4.35 ","5,881 ± 4.0","7.0 × 10"
"5.4","NA","1.50","4,990","79"
"NA","9","2.9","5,070","NA"
"NA","NA","NA","NA","NA"
"NA","3.3","3.84","6,471","1.3"
"NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA"
